sale_id,customer_id,company_name,store_id,store_name,state,city,product_id,product_name,date,payment_method,amount_brl,pos_terminal,status
SLS-10021,CUST065,Centro de da Rocha Ltda,STR-037,Express Rio Verde,GO,Rio Verde,PROD-ESTOQUE,VendeFácil Estoque,2025-08-17 19:52:34,Cartão de Débito,1320.48,Caixa 04,Aprovada
SLS-10022,CUST224,Empório Moraes Ltda,STR-043,Filial Bairro Rio Verde,GO,Rio Verde,PROD-PAY,VendeFácil Pay,2025-07-31 04:13:04,Dinheiro,238.47,Caixa 02,Aprovada
SLS-10023,CUST1887,Mercado Aparecida Ltda,STR-020,Filial Bairro Serra,ES,Serra,PROD-ANALYTICS,VendeFácil Analytics,2025-01-06 13:32:20,PIX,607.14,Caixa 01,Aprovada
SLS-10024,CUST1689,Comércio de Ribeiro Comercial,STR-034,Filial Zona Sul Caucaia,CE,Caucaia,PROD-LOJA,VendeFácil Loja,2025-10-27 19:18:56,PIX,726.71,Caixa 01,Aprovada
SLS-10025,CUST1271,Mundo da da Cruz Ltda,STR-016,Filial Zona Sul Olinda,PE,Olinda,PROD-ANALYTICS,VendeFácil Analytics,2026-02-15 07:46:31,Cartão de Crédito,714.83,Caixa 04,Aprovada
SLS-10026,CUST024,Casa do Sá Ltda,STR-014,Filial Shopping Rio Verde,GO,Rio Verde,PROD-ESTOQUE,VendeFácil Estoque,2025-07-18 20:08:07,Dinheiro,1769.45,Caixa 01,Aprovada
SLS-10027,CUST224,Empório Moraes Ltda,STR-043,Filial Bairro Rio Verde,GO,Rio Verde,PROD-PAY,VendeFácil Pay,2025-03-16 02:28:32,Boleto Bancário,1649.89,Caixa 01,Cancelada
SLS-10028,CUST1247,Centro de Aparecida Eireli,STR-011,Filial Shopping Brasília,DF,Brasília,PROD-ANALYTICS,VendeFácil Analytics,2025-11-17 13:10:11,Cartão de Crédito,829.58,Caixa 02,Aprovada
SLS-10029,CUST556,Lojas Cunha S.A.,STR-049,Filial Bairro Santa Maria,RS,Santa Maria,PROD-PDV,VendeFácil PDV,2025-06-14 14:22:04,PIX,454.01,Caixa 03,Aprovada
SLS-10030,CUST034,Rede Pires Comercial,STR-026,Filial Shopping Caruaru,PE,Caruaru,PROD-PAY,VendeFácil Pay,2025-04-26 04:38:08,Boleto Bancário,1952.39,Caixa 01,Estornada
SLS-10031,CUST556,Lojas Cunha S.A.,STR-049,Filial Bairro Santa Maria,RS,Santa Maria,PROD-ESTOQUE,VendeFácil Estoque,2025-05-04 21:48:29,Dinheiro,918.57,Caixa 01,Aprovada
SLS-10032,CUST717,Rede da Mota S.A.,STR-039,Filial Shopping Cariacica,ES,Cariacica,PROD-ANALYTICS,VendeFácil Analytics,2025-02-03 20:27:01,PIX,743.13,Caixa 01,Estornada
SLS-10033,CUST005,Materiais de Construção Silva,STR-003,Matriz Juiz de Fora,MG,Juiz de Fora,PROD-LOJA,VendeFácil Loja,2025-07-21 10:13:29,Boleto Bancário,1111.69,Caixa 03,Aprovada
SLS-10034,CUST1162,Empório Monteiro Eireli,STR-035,Filial Zona Sul Juazeiro do Norte,CE,Juazeiro do Norte,PROD-LOJA,VendeFácil Loja,2025-06-07 17:06:32,Dinheiro,931.44,Caixa 02,Aprovada
SLS-10035,CUST552,Distribuidora Cavalcante Eireli,STR-022,Filial Bairro Jaboatão dos Guararapes,PE,Jaboatão dos Guararapes,PROD-ANALYTICS,VendeFácil Analytics,2025-06-25 19:23:47,Dinheiro,681.46,Caixa 01,Aprovada
SLS-10036,CUST1015,Distribuidora Montenegro Me,STR-041,Filial Centro Rio de Janeiro,RJ,Rio de Janeiro,PROD-LOJA,VendeFácil Loja,2025-05-28 21:38:33,Dinheiro,642.9,Caixa 06,Aprovada
SLS-10037,CUST065,Centro de da Rocha Ltda,STR-037,Express Rio Verde,GO,Rio Verde,PROD-LOJA,VendeFácil Loja,2025-06-06 06:59:05,Cartão de Débito,964.62,Caixa 04,Aprovada
SLS-10038,CUST835,Empório Marques Me,STR-017,Filial Centro Santos,SP,Santos,PROD-ANALYTICS,VendeFácil Analytics,2025-12-09 23:59:51,Cartão de Crédito,787.82,Caixa 07,Aprovada
SLS-10039,CUST401,Comércio de Costela Eireli,STR-050,Express Contagem,MG,Contagem,PROD-LOJA,VendeFácil Loja,2025-04-08 13:09:40,Dinheiro,1003.72,Caixa 01,Aprovada
SLS-10040,CUST009,Empório Gourmet Mineiro,STR-038,Express Ouro Preto,MG,Ouro Preto,PROD-ESTOQUE,VendeFácil Estoque,2025-03-02 10:36:42,Cartão de Crédito,796.54,Caixa 01,Aprovada
SLS-10041,CUST1907,Mundo da Pimenta Comercial,STR-042,Filial Shopping Niterói,RJ,Niterói,PROD-ANALYTICS,VendeFácil Analytics,2025-07-11 08:56:35,Boleto Bancário,589.04,Caixa 02,Cancelada
SLS-10042,CUST365,Rede Casa Grande Comercial,STR-030,Filial Shopping Aparecida de Goiânia,GO,Aparecida de Goiânia,PROD-LOJA,VendeFácil Loja,2025-03-16 09:16:27,Dinheiro,469.98,Caixa 01,Aprovada
SLS-10043,CUST1637,Atacado Mendonça S.A.,STR-036,Matriz Contagem,MG,Contagem,PROD-PDV,VendeFácil PDV,2025-02-04 06:52:43,Cartão de Débito,851.02,Caixa 04,Cancelada
SLS-10044,CUST009,Empório Gourmet Mineiro,STR-038,Express Ouro Preto,MG,Ouro Preto,PROD-LOJA,VendeFácil Loja,2025-09-19 20:39:37,Boleto Bancário,611.1,Caixa 01,Aprovada
SLS-10045,CUST1015,Distribuidora Montenegro Me,STR-041,Filial Centro Rio de Janeiro,RJ,Rio de Janeiro,PROD-PAY,VendeFácil Pay,2025-02-25 17:20:38,Boleto Bancário,1272.92,Caixa 02,Aprovada
SLS-10046,CUST1903,Comércio de Ferreira Ltda,STR-012,Filial Shopping Caucaia,CE,Caucaia,PROD-LOJA,VendeFácil Loja,2026-01-25 01:59:03,PIX,1330.36,Caixa 03,Aprovada
SLS-10047,CUST1637,Atacado Mendonça S.A.,STR-036,Matriz Contagem,MG,Contagem,PROD-LOJA,VendeFácil Loja,2025-03-07 03:29:28,Boleto Bancário,617.43,Caixa 06,Cancelada
SLS-10048,CUST008,Auto Peças Central,STR-004,Matriz Ribeirão Preto,SP,Ribeirão Preto,PROD-PDV,VendeFácil PDV,2025-06-22 22:43:56,Cartão de Débito,503.46,Caixa 04,Aprovada
SLS-10049,CUST391,Distribuidora Oliveira Eireli,STR-015,Filial Bairro Anápolis,GO,Anápolis,PROD-PAY,VendeFácil Pay,2025-10-20 09:42:41,Dinheiro,1173.58,Caixa 01,Aprovada
SLS-10050,CUST001,Supermercado Boa Compra,STR-002,Filial Savassi,MG,Belo Horizonte,PROD-PAY,VendeFácil Pay,2025-06-12 08:00:19,Cartão de Crédito,2521.02,Caixa 04,Aprovada
SLS-10051,CUST1162,Empório Monteiro Eireli,STR-035,Filial Zona Sul Juazeiro do Norte,CE,Juazeiro do Norte,PROD-PDV,VendeFácil PDV,2025-03-24 03:19:10,Dinheiro,749.85,Caixa 03,Aprovada
SLS-10052,CUST409,Rede da Cruz Eireli,STR-008,Matriz Fortaleza,CE,Fortaleza,PROD-ESTOQUE,VendeFácil Estoque,2025-07-28 08:02:43,Cartão de Crédito,1174.66,Caixa 01,Aprovada
SLS-10053,CUST391,Distribuidora Oliveira Eireli,STR-015,Filial Bairro Anápolis,GO,Anápolis,PROD-PDV,VendeFácil PDV,2025-01-02 08:41:36,Cartão de Débito,585.0,Caixa 01,Aprovada
SLS-10054,CUST024,Casa do Sá Ltda,STR-014,Filial Shopping Rio Verde,GO,Rio Verde,PROD-PDV,VendeFácil PDV,2025-02-11 14:52:27,Boleto Bancário,588.96,Caixa 01,Cancelada
SLS-10055,CUST556,Lojas Cunha S.A.,STR-049,Filial Bairro Santa Maria,RS,Santa Maria,PROD-PDV,VendeFácil PDV,2025-10-05 09:53:35,Cartão de Crédito,826.18,Caixa 02,Aprovada
SLS-10056,CUST1689,Comércio de Ribeiro Comercial,STR-034,Filial Zona Sul Caucaia,CE,Caucaia,PROD-LOJA,VendeFácil Loja,2025-01-11 18:10:09,Dinheiro,1073.36,Caixa 02,Cancelada
SLS-10057,CUST024,Casa do Sá Ltda,STR-014,Filial Shopping Rio Verde,GO,Rio Verde,PROD-ESTOQUE,VendeFácil Estoque,2025-12-27 02:48:59,Dinheiro,1737.04,Caixa 01,Aprovada
SLS-10058,CUST034,Rede Pires Comercial,STR-026,Filial Shopping Caruaru,PE,Caruaru,PROD-ESTOQUE,VendeFácil Estoque,2025-06-10 12:51:43,Boleto Bancário,898.47,Caixa 01,Aprovada
SLS-10059,CUST625,Comércio de Macedo Eireli,STR-025,Matriz Chapecó,SC,Chapecó,PROD-ANALYTICS,VendeFácil Analytics,2025-01-13 20:30:34,Cartão de Crédito,701.83,Caixa 01,Aprovada
SLS-10060,CUST210,Lojas Cunha Eireli,STR-046,Filial Zona Sul Niterói,RJ,Niterói,PROD-PDV,VendeFácil PDV,2025-07-19 20:48:48,Cartão de Débito,544.14,Caixa 01,Aprovada
SLS-10061,CUST1612,Comércio de Garcia Me,STR-028,Filial Centro Uberaba,MG,Uberaba,PROD-ANALYTICS,VendeFácil Analytics,2025-08-06 03:15:25,Boleto Bancário,428.45,Caixa 02,Aprovada
SLS-10062,CUST1499,Distribuidora Costa Me,STR-024,Filial Centro Sorocaba,SP,Sorocaba,PROD-LOJA,VendeFácil Loja,2025-09-03 05:45:22,Cartão de Crédito,633.24,Caixa 09,Cancelada
SLS-10063,CUST1689,Comércio de Ribeiro Comercial,STR-034,Filial Zona Sul Caucaia,CE,Caucaia,PROD-ESTOQUE,VendeFácil Estoque,2025-01-19 13:53:16,Cartão de Débito,561.49,Caixa 01,Aprovada
SLS-10064,CUST210,Lojas Cunha Eireli,STR-046,Filial Zona Sul Niterói,RJ,Niterói,PROD-ESTOQUE,VendeFácil Estoque,2025-02-17 22:24:28,Dinheiro,564.6,Caixa 01,Cancelada
SLS-10065,CUST835,Empório Marques Me,STR-017,Filial Centro Santos,SP,Santos,PROD-ESTOQUE,VendeFácil Estoque,2025-05-31 05:09:24,Boleto Bancário,904.99,Caixa 02,Aprovada
SLS-10066,CUST1410,Empório Campos Ltda,STR-027,Filial Centro Porto Alegre,RS,Porto Alegre,PROD-ESTOQUE,VendeFácil Estoque,2025-09-24 02:25:52,Cartão de Crédito,1789.0,Caixa 03,Aprovada
SLS-10067,CUST065,Centro de da Rocha Ltda,STR-037,Express Rio Verde,GO,Rio Verde,PROD-ESTOQUE,VendeFácil Estoque,2025-05-28 19:56:59,Boleto Bancário,1893.6,Caixa 02,Aprovada
SLS-10068,CUST001,Supermercado Boa Compra,STR-002,Filial Savassi,MG,Belo Horizonte,PROD-ESTOQUE,VendeFácil Estoque,2025-11-05 02:48:18,PIX,1641.53,Caixa 03,Aprovada
SLS-10069,CUST1162,Empório Monteiro Eireli,STR-035,Filial Zona Sul Juazeiro do Norte,CE,Juazeiro do Norte,PROD-ANALYTICS,VendeFácil Analytics,2025-10-11 13:25:56,Cartão de Crédito,356.9,Caixa 02,Aprovada
SLS-10070,CUST001,Supermercado Boa Compra,STR-001,Filial Matriz - Centro BH,MG,Belo Horizonte,PROD-ESTOQUE,VendeFácil Estoque,2026-01-28 09:54:55,Dinheiro,1701.83,Caixa 01,Aprovada
SLS-10071,CUST1610,Comércio de da Rocha Ltda,STR-009,Express Jaboatão dos Guararapes,PE,Jaboatão dos Guararapes,PROD-PDV,VendeFácil PDV,2025-08-29 05:40:35,Cartão de Crédito,480.64,Caixa 01,Cancelada
SLS-10072,CUST714,Rede Borges Ltda,STR-018,Filial Zona Sul Porto Alegre,RS,Porto Alegre,PROD-ESTOQUE,VendeFácil Estoque,2025-08-21 06:22:36,PIX,1553.01,Caixa 01,Estornada
SLS-10073,CUST717,Rede da Mota S.A.,STR-039,Filial Shopping Cariacica,ES,Cariacica,PROD-PDV,VendeFácil PDV,2025-02-04 13:44:29,Cartão de Crédito,350.31,Caixa 01,Cancelada
SLS-10074,CUST1139,Empório Freitas Me,STR-032,Filial Bairro Juiz de Fora,MG,Juiz de Fora,PROD-ANALYTICS,VendeFácil Analytics,2025-10-09 19:42:51,Boleto Bancário,872.15,Caixa 08,Estornada
SLS-10075,CUST1689,Comércio de Ribeiro Comercial,STR-034,Filial Zona Sul Caucaia,CE,Caucaia,PROD-PAY,VendeFácil Pay,2025-10-23 14:45:10,Cartão de Débito,1679.94,Caixa 02,Aprovada
SLS-10076,CUST1398,Centro de Andrade Ltda,STR-033,Filial Zona Sul Curitiba,PR,Curitiba,PROD-ANALYTICS,VendeFácil Analytics,2025-03-06 01:19:33,Cartão de Crédito,301.39,Caixa 02,Aprovada
SLS-10077,CUST409,Rede da Cruz Eireli,STR-008,Matriz Fortaleza,CE,Fortaleza,PROD-ANALYTICS,VendeFácil Analytics,2025-07-15 13:41:15,Cartão de Débito,511.54,Caixa 02,Aprovada
SLS-10078,CUST102,Rede Cardoso Me,STR-013,Filial Centro Uberlândia,MG,Uberlândia,PROD-PDV,VendeFácil PDV,2025-04-21 15:51:26,Cartão de Crédito,592.97,Caixa 01,Estornada
SLS-10079,CUST1887,Mercado Aparecida Ltda,STR-020,Filial Bairro Serra,ES,Serra,PROD-ESTOQUE,VendeFácil Estoque,2025-03-14 00:35:46,Cartão de Crédito,1836.46,Caixa 02,Aprovada
SLS-10080,CUST034,Rede Pires Comercial,STR-026,Filial Shopping Caruaru,PE,Caruaru,PROD-ANALYTICS,VendeFácil Analytics,2025-07-10 07:27:09,Boleto Bancário,341.29,Caixa 01,Aprovada
SLS-10081,CUST108,Lojas Abreu Ltda,STR-010,Matriz São Paulo,SP,São Paulo,PROD-PDV,VendeFácil PDV,2025-06-01 13:37:05,PIX,539.3,Caixa 02,Estornada
SLS-10082,CUST1612,Comércio de Garcia Me,STR-028,Filial Centro Uberaba,MG,Uberaba,PROD-PAY,VendeFácil Pay,2025-05-31 12:55:00,Dinheiro,1763.79,Caixa 01,Aprovada
SLS-10083,CUST1875,Empório da Cunha Eireli,STR-005,Filial Shopping Rio de Janeiro,RJ,Rio de Janeiro,PROD-LOJA,VendeFácil Loja,2025-04-10 11:17:57,Dinheiro,574.2,Caixa 01,Aprovada
SLS-10084,CUST1220,Atacado Gonçalves Eireli,STR-048,Matriz Caucaia,CE,Caucaia,PROD-PAY,VendeFácil Pay,2025-05-19 02:10:49,PIX,1638.33,Caixa 06,Cancelada
SLS-10085,CUST1499,Distribuidora Costa Me,STR-024,Filial Centro Sorocaba,SP,Sorocaba,PROD-ANALYTICS,VendeFácil Analytics,2025-07-26 12:09:43,Dinheiro,572.2,Caixa 06,Aprovada
SLS-10086,CUST1499,Distribuidora Costa Me,STR-024,Filial Centro Sorocaba,SP,Sorocaba,PROD-PAY,VendeFácil Pay,2025-10-27 04:29:20,Boleto Bancário,2380.31,Caixa 07,Cancelada
SLS-10087,CUST005,Materiais de Construção Silva,STR-003,Matriz Juiz de Fora,MG,Juiz de Fora,PROD-PAY,VendeFácil Pay,2026-01-09 20:37:12,Dinheiro,320.52,Caixa 02,Aprovada
SLS-10088,CUST552,Distribuidora Cavalcante Eireli,STR-022,Filial Bairro Jaboatão dos Guararapes,PE,Jaboatão dos Guararapes,PROD-ANALYTICS,VendeFácil Analytics,2026-01-10 23:07:37,Cartão de Débito,350.77,Caixa 01,Aprovada
SLS-10089,CUST934,Lojas Campos Ltda,STR-040,Express Brasília,DF,Brasília,PROD-LOJA,VendeFácil Loja,2025-07-21 08:01:06,PIX,438.85,Caixa 01,Aprovada
SLS-10090,CUST102,Rede Cardoso Me,STR-013,Filial Centro Uberlândia,MG,Uberlândia,PROD-PAY,VendeFácil Pay,2025-04-10 15:12:14,Cartão de Crédito,1392.2,Caixa 01,Aprovada
SLS-10091,CUST001,Supermercado Boa Compra,STR-001,Filial Matriz - Centro BH,MG,Belo Horizonte,PROD-ESTOQUE,VendeFácil Estoque,2025-01-20 09:40:00,Boleto Bancário,1662.65,Caixa 04,Aprovada
SLS-10092,CUST1247,Centro de Aparecida Eireli,STR-011,Filial Shopping Brasília,DF,Brasília,PROD-ANALYTICS,VendeFácil Analytics,2025-02-28 02:54:41,Boleto Bancário,818.18,Caixa 02,Cancelada
SLS-10093,CUST1427,Lojas Vieira Comercial,STR-047,Matriz Vitória da Conquista,BA,Vitória da Conquista,PROD-ANALYTICS,VendeFácil Analytics,2025-05-13 21:00:34,Dinheiro,633.55,Caixa 03,Aprovada
SLS-10094,CUST1015,Distribuidora Montenegro Me,STR-041,Filial Centro Rio de Janeiro,RJ,Rio de Janeiro,PROD-LOJA,VendeFácil Loja,2025-09-27 05:39:54,Dinheiro,967.25,Caixa 05,Cancelada
SLS-10095,CUST401,Comércio de Costela Eireli,STR-050,Express Contagem,MG,Contagem,PROD-ESTOQUE,VendeFácil Estoque,2025-04-26 00:48:33,Boleto Bancário,1210.26,Caixa 02,Cancelada
SLS-10096,CUST1887,Mercado Aparecida Ltda,STR-020,Filial Bairro Serra,ES,Serra,PROD-ANALYTICS,VendeFácil Analytics,2025-01-27 21:32:34,Cartão de Débito,811.17,Caixa 02,Aprovada
SLS-10097,CUST108,Lojas Abreu Ltda,STR-010,Matriz São Paulo,SP,São Paulo,PROD-ESTOQUE,VendeFácil Estoque,2026-02-06 07:58:18,Cartão de Crédito,1181.88,Caixa 01,Aprovada
SLS-10098,CUST1490,Mundo da da Mota Me,STR-045,Filial Shopping Vila Velha,ES,Vila Velha,PROD-PAY,VendeFácil Pay,2025-07-05 15:01:26,Boleto Bancário,1369.49,Caixa 02,Aprovada
SLS-10099,CUST1867,Lojas Teixeira Ltda,STR-006,Matriz Caxias do Sul,RS,Caxias do Sul,PROD-ESTOQUE,VendeFácil Estoque,2025-11-16 17:31:08,PIX,1644.7,Caixa 01,Aprovada
SLS-10100,CUST034,Rede Pires Comercial,STR-026,Filial Shopping Caruaru,PE,Caruaru,PROD-ANALYTICS,VendeFácil Analytics,2025-03-20 15:04:53,Boleto Bancário,934.85,Caixa 01,Aprovada
SLS-10101,CUST409,Rede da Cruz Eireli,STR-008,Matriz Fortaleza,CE,Fortaleza,PROD-ESTOQUE,VendeFácil Estoque,2025-09-07 17:54:29,Boleto Bancário,1366.75,Caixa 02,Aprovada
SLS-10102,CUST1271,Mundo da da Cruz Ltda,STR-016,Filial Zona Sul Olinda,PE,Olinda,PROD-ESTOQUE,VendeFácil Estoque,2025-11-09 06:00:13,Cartão de Débito,727.2,Caixa 03,Cancelada
SLS-10103,CUST625,Comércio de Macedo Eireli,STR-025,Matriz Chapecó,SC,Chapecó,PROD-PDV,VendeFácil PDV,2025-02-21 02:59:20,PIX,779.94,Caixa 01,Aprovada
SLS-10104,CUST1162,Empório Monteiro Eireli,STR-035,Filial Zona Sul Juazeiro do Norte,CE,Juazeiro do Norte,PROD-ANALYTICS,VendeFácil Analytics,2025-02-17 23:35:30,Cartão de Crédito,944.29,Caixa 01,Aprovada
SLS-10105,CUST1903,Comércio de Ferreira Ltda,STR-012,Filial Shopping Caucaia,CE,Caucaia,PROD-ESTOQUE,VendeFácil Estoque,2025-05-30 13:21:12,Cartão de Débito,1482.43,Caixa 01,Aprovada
SLS-10106,CUST1247,Centro de Aparecida Eireli,STR-011,Filial Shopping Brasília,DF,Brasília,PROD-LOJA,VendeFácil Loja,2025-06-19 03:38:23,PIX,1495.91,Caixa 01,Aprovada
SLS-10107,CUST934,Lojas Campos Ltda,STR-040,Express Brasília,DF,Brasília,PROD-ESTOQUE,VendeFácil Estoque,2026-02-09 06:11:13,Boleto Bancário,1718.04,Caixa 02,Aprovada
SLS-10108,CUST714,Rede Borges Ltda,STR-018,Filial Zona Sul Porto Alegre,RS,Porto Alegre,PROD-LOJA,VendeFácil Loja,2025-11-12 19:09:15,PIX,1313.3,Caixa 01,Aprovada
SLS-10109,CUST1875,Empório da Cunha Eireli,STR-005,Filial Shopping Rio de Janeiro,RJ,Rio de Janeiro,PROD-PAY,VendeFácil Pay,2025-05-14 05:43:49,Dinheiro,406.44,Caixa 03,Aprovada
SLS-10110,CUST1490,Mundo da da Mota Me,STR-045,Filial Shopping Vila Velha,ES,Vila Velha,PROD-PDV,VendeFácil PDV,2025-07-21 12:19:48,Cartão de Crédito,725.25,Caixa 02,Aprovada
SLS-10111,CUST1398,Centro de Andrade Ltda,STR-033,Filial Zona Sul Curitiba,PR,Curitiba,PROD-LOJA,VendeFácil Loja,2025-12-01 14:36:12,Boleto Bancário,1285.73,Caixa 01,Aprovada
SLS-10112,CUST224,Empório Moraes Ltda,STR-043,Filial Bairro Rio Verde,GO,Rio Verde,PROD-ESTOQUE,VendeFácil Estoque,2025-05-04 16:47:41,Cartão de Crédito,1537.82,Caixa 01,Aprovada
SLS-10113,CUST008,Auto Peças Central,STR-004,Matriz Ribeirão Preto,SP,Ribeirão Preto,PROD-PDV,VendeFácil PDV,2025-03-17 03:55:13,Boleto Bancário,418.1,Caixa 02,Aprovada
SLS-10114,CUST401,Comércio de Costela Eireli,STR-050,Express Contagem,MG,Contagem,PROD-LOJA,VendeFácil Loja,2025-10-24 08:42:39,Boleto Bancário,873.22,Caixa 01,Estornada
SLS-10115,CUST224,Empório Moraes Ltda,STR-043,Filial Bairro Rio Verde,GO,Rio Verde,PROD-PAY,VendeFácil Pay,2026-01-09 21:23:47,Cartão de Débito,2913.56,Caixa 02,Aprovada
SLS-10116,CUST1907,Mundo da Pimenta Comercial,STR-042,Filial Shopping Niterói,RJ,Niterói,PROD-LOJA,VendeFácil Loja,2025-03-22 14:13:42,Cartão de Crédito,773.05,Caixa 01,Aprovada
SLS-10117,CUST835,Empório Marques Me,STR-017,Filial Centro Santos,SP,Santos,PROD-ESTOQUE,VendeFácil Estoque,2025-09-12 16:52:32,Boleto Bancário,1657.75,Caixa 07,Aprovada
SLS-10118,CUST1629,Mundo da Vieira Comercial,STR-029,Matriz Águas Claras,DF,Águas Claras,PROD-LOJA,VendeFácil Loja,2026-01-17 15:22:38,Cartão de Débito,1453.45,Caixa 05,Estornada
SLS-10119,CUST1903,Comércio de Ferreira Ltda,STR-012,Filial Shopping Caucaia,CE,Caucaia,PROD-ESTOQUE,VendeFácil Estoque,2025-05-09 15:08:19,PIX,1215.47,Caixa 03,Aprovada
SLS-10120,CUST005,Materiais de Construção Silva,STR-003,Matriz Juiz de Fora,MG,Juiz de Fora,PROD-ESTOQUE,VendeFácil Estoque,2025-05-03 18:40:11,Dinheiro,1228.08,Caixa 03,Aprovada
SLS-10121,CUST1427,Lojas Vieira Comercial,STR-047,Matriz Vitória da Conquista,BA,Vitória da Conquista,PROD-ANALYTICS,VendeFácil Analytics,2025-01-20 00:20:09,Cartão de Débito,747.96,Caixa 03,Aprovada
SLS-10122,CUST552,Distribuidora Cavalcante Eireli,STR-022,Filial Bairro Jaboatão dos Guararapes,PE,Jaboatão dos Guararapes,PROD-PDV,VendeFácil PDV,2025-09-05 18:14:37,Cartão de Crédito,463.97,Caixa 02,Estornada
SLS-10123,CUST224,Empório Moraes Ltda,STR-043,Filial Bairro Rio Verde,GO,Rio Verde,PROD-PAY,VendeFácil Pay,2025-05-21 19:19:42,Boleto Bancário,2770.97,Caixa 05,Cancelada
